x,y,z,Yw(m)
3.5,28.5,0,3.53553
3.5,29.5,0,3.53553
3.5,30.5,0,3.53553
3.5,31.5,0,3.53553
3.5,32.5,0,3.53553
3.5,33.5,0,3.53553
3.5,34.5,0,3.53553
3.5,35.5,0,3.53553
3.5,36.5,0,3.53553
3.5,37.5,0,3.53553
3.5,38.5,0,3.53553
3.5,39.5,0,3.53553
3.5,40.5,0,3.53553
3.5,41.5,0,3.53553
3.5,42.5,0,3.53553
3.5,43.5,0,3.53553
3.5,44.5,0,3.53553
3.5,45.5,0,3.53553
3.5,46.5,0,2.54951
3.5,47.5,0,1.58114
3.5,48.5,0,9.82499e-310
4.5,0.5,0,7.37319e-313
4.5,1.5,0,1.58114
4.5,2.5,0,2.54951
4.5,3.5,0,3.53553
4.5,4.5,0,4.52769
4.5,5.5,0,4.52769
4.5,6.5,0,4.52769
4.5,7.5,0,4.52769
4.5,8.5,0,4.52769
4.5,9.5,0,4.52769
4.5,10.5,0,4.52769
4.5,11.5,0,4.52769
4.5,12.5,0,4.52769
4.5,13.5,0,4.52769
4.5,14.5,0,4.52769
4.5,15.5,0,4.52769
4.5,16.5,0,4.52769
4.5,17.5,0,4.52769
4.5,18.5,0,4.52769
4.5,19.5,0,4.52769
4.5,20.5,0,4.52769
4.5,21.5,0,4.52769
4.5,22.5,0,4.52769
4.5,23.5,0,4.52769
4.5,24.5,0,4.52769
4.5,25.5,0,4.52769
4.5,26.5,0,4.52769
4.5,27.5,0,4.52769
4.5,28.5,0,4.52769
4.5,29.5,0,4.52769
4.5,30.5,0,4.52769
4.5,31.5,0,4.52769
4.5,32.5,0,4.52769
4.5,33.5,0,4.52769
4.5,34.5,0,4.52769
4.5,35.5,0,4.52769
4.5,36.5,0,4.52769
4.5,37.5,0,4.52769
4.5,38.5,0,4.52769
4.5,39.5,0,4.52769
4.5,40.5,0,4.52769
4.5,41.5,0,4.52769
4.5,42.5,0,4.52769
4.5,43.5,0,4.52769
4.5,44.5,0,4.52769
4.5,45.5,0,3.53553
4.5,46.5,0,2.54951
4.5,47.5,0,1.58114
4.5,48.5,0,9.82499e-310
5.5,0.5,0,7.37319e-313
5.5,1.5,0,1.58114
5.5,2.5,0,2.54951
5.5,3.5,0,3.53553
5.5,4.5,0,4.52769
5.5,5.5,0,5.52268
5.5,6.5,0,5.52268
5.5,7.5,0,5.52268
5.5,8.5,0,5.52268
5.5,9.5,0,5.52268
5.5,10.5,0,5.52268
5.5,11.5,0,5.52268
5.5,12.5,0,5.52268
5.5,13.5,0,5.52268
5.5,14.5,0,5.52268
5.5,15.5,0,5.52268
5.5,16.5,0,5.52268
5.5,17.5,0,5.52268
5.5,18.5,0,5.52268
5.5,19.5,0,5.52268
5.5,20.5,0,5.52268
5.5,21.5,0,5.52268
5.5,22.5,0,5.52268
5.5,23.5,0,5.52268
5.5,24.5,0,5.52268
5.5,25.5,0,5.52268
5.5,26.5,0,5.52268
5.5,27.5,0,5.52268
5.5,28.5,0,5.52268
5.5,29.5,0,5.52268
5.5,30.5,0,5.52268
5.5,31.5,0,5.52268
5.5,32.5,0,5.52268
5.5,33.5,0,5.52268
5.5,34.5,0,5.52268
5.5,35.5,0,5.52268
5.5,36.5,0,5.52268
5.5,37.5,0,5.52268
5.5,38.5,0,5.52268
5.5,39.5,0,5.52268
5.5,40.5,0,5.52268
5.5,41.5,0,5.52268
5.5,42.5,0,5.52268
5.5,43.5,0,5.52268
5.5,44.5,0,4.52769
5.5,45.5,0,3.53553
5.5,46.5,0,2.54951
5.5,47.5,0,1.58114
5.5,48.5,0,9.82499e-310
6.5,0.5,0,7.37319e-313
6.5,1.5,0,1.58114
6.5,2.5,0,2.54951
6.5,3.5,0,3.53553
6.5,4.5,0,4.52769
6.5,5.5,0,5.52268
6.5,6.5,0,6.5192
6.5,7.5,0,6.5192
6.5,8.5,0,6.5192
6.5,9.5,0,6.5192
6.5,10.5,0,6.5192
6.5,11.5,0,6.5192
6.5,12.5,0,6.5192
6.5,13.5,0,6.5192
6.5,14.5,0,6.5192
6.5,15.5,0,6.5192
6.5,16.5,0,6.5192
6.5,17.5,0,6.5192
6.5,18.5,0,6.5192
6.5,19.5,0,6.5192
6.5,20.5,0,6.5192
6.5,21.5,0,6.5192
6.5,22.5,0,6.5192
6.5,23.5,0,6.5192
6.5,24.5,0,6.5192
6.5,25.5,0,6.5192
6.5,26.5,0,6.5192
6.5,27.5,0,6.5192
6.5,28.5,0,6.5192
6.5,29.5,0,6.5192
6.5,30.5,0,6.5192
6.5,31.5,0,6.5192
6.5,32.5,0,6.5192
6.5,33.5,0,6.5192
6.5,34.5,0,6.5192
6.5,35.5,0,6.5192
6.5,36.5,0,6.5192
6.5,37.5,0,6.5192
6.5,38.5,0,6.5192
6.5,39.5,0,6.5192
6.5,40.5,0,6.5192
6.5,41.5,0,6.5192
6.5,42.5,0,6.5192
6.5,43.5,0,5.52268
6.5,44.5,0,4.52769
6.5,45.5,0,3.53553
6.5,46.5,0,2.54951
6.5,47.5,0,1.58114
6.5,48.5,0,9.82499e-310
7.5,0.5,0,7.37319e-313
7.5,1.5,0,1.58114
7.5,2.5,0,2.54951
7.5,3.5,0,3.53553
7.5,4.5,0,4.52769
